generation,pop,opt,phen
200102,0,-7,-3.3555
200102,0,-7,-3.20783
200102,0,-7,-0.26346
200102,0,-7,-2.16212
200102,0,-7,-0.689155
200102,0,-7,-1.85421
200102,0,-7,-2.0819
200102,0,-7,-3.05312
200102,0,-7,-3.93927
200102,0,-7,-3.05312
200102,0,-7,-3.63689
200102,0,-7,-2.80057
200102,0,-7,-2.38676
200102,0,-7,-3.63689
200102,0,-7,-3.63689
200102,0,-7,-2.46008
200102,0,-7,-3.3142
200102,0,-7,-2.6808
200102,0,-7,-3.93927
200102,0,-7,-4.15557
200102,0,-7,-2.39767
200102,0,-7,-1.38435
200102,0,-7,-3.05312
200102,0,-7,-3.63689
200102,0,-7,-4.45795
200102,0,-7,-2.73043
200102,0,-7,-3.65788
200102,0,-7,-2.39181
200102,0,-7,-3.93927
200102,0,-7,-3.3142
200102,0,-7,-1.8243
200102,0,-7,-1.56322
200102,0,-7,-2.7153
200102,0,-7,-3.93927
200102,0,-7,-3.87418
200102,0,-7,-3.94512
200102,0,-7,-2.12082
200102,0,-7,-4.39873
200102,0,-7,-0.0959741
200102,0,-7,-2.94189
200102,0,-7,-3.46543
200102,0,-7,-3.3555
200102,0,-7,-1.59173
200102,0,-7,-3.64275
200102,0,-7,-3.88004
200102,0,-7,-3.64275
200102,0,-7,-3.01687
200102,0,-7,-2.2168
200102,0,-7,-3.93927
200102,0,-7,-1.76427
200102,0,-7,-4.76033
200102,0,-7,-3.85905
200102,0,-7,-3.01687
200102,0,-7,-4.45795
200102,0,-7,-3.27043
200102,0,-7,-4.15557
200102,0,-7,-4.45795
200102,0,-7,-2.44936
200102,0,-7,-3.83289
200102,0,-7,-2.49819
200102,0,-7,-2.80057
200102,0,-7,-4.76033
200102,0,-7,-2.73043
200102,0,-7,-2.74589
200102,0,-7,-3.93927
200102,0,-7,-3.64275
200102,0,-7,-3.63689
200102,0,-7,-1.8656
200102,0,-7,-3.63689
200102,0,-7,-2.04061
200102,0,-7,-2.7566
200102,0,-7,-2.9526
200102,0,-7,-3.32006
200102,0,-7,-1.56322
200102,0,-7,-4.16143
200102,0,-7,-1.87312
200102,0,-7,-3.34037
200102,0,-7,-3.23399
200102,0,-7,-2.49819
200102,0,-7,-4.15557
200102,0,-7,-2.2168
200102,0,-7,-2.73043
200102,0,-7,-3.5718
200102,0,-7,-3.3555
200102,0,-7,-4.45795
200102,0,-7,-3.5718
200102,0,-7,-4.17656
